okres,obyvatel,15-17 let,18-19 let,20-24 let,25-29 let,30-34 let,35-39 let,40-44 let,45-49 let,50-54 let,55-59 let,60-64 let
Česká republika,10230060,402339,281124,843664,865035,687702,688975,676213,790149,812925,639806,473212
Praha 1,34581,995,828,2800,2950,2235,2155,2064,2929,3231,2651,1400
Praha 2,51003,1537,1257,3999,4324,3276,3200,2945,4081,4665,3780,2025
Praha 3,72840,2119,1590,5599,6254,4900,4871,4248,5538,5971,5153,3253
Praha 4,131597,3630,2504,8694,10480,8679,8756,7166,8617,10024,11228,8496
Praha 5,97953,3595,2387,7265,8273,6972,7229,6435,7593,8139,6902,4010
Praha 6,109741,3319,2669,8658,8060,6321,6801,6261,8148,8583,7610,5773
Praha 7,41755,1299,917,3186,3751,2897,2759,2320,3101,3636,2977,1701
Praha 8,108107,2907,2458,9113,10603,7133,6054,5444,8374,11430,9674,5189
Praha 9,70301,2043,1391,5330,6598,5179,4541,3804,4893,6309,6348,3870
Praha 10,108609,2897,2233,7651,8715,6863,6630,5847,7361,8287,8125,6412
Praha 11,85020,3486,2593,9326,6945,4304,4989,5784,9192,9610,6493,3263
Praha 12,68191,3195,2597,6881,5037,3635,4609,5689,7380,6351,4394,2431
Praha 13,81050,4312,2587,6174,5938,6428,7712,7254,7269,5951,4004,2039
Praha 14,63629,2517,1697,5020,5478,5091,5151,4407,5034,4815,3682,2319
Praha 15,44729,2061,1389,3758,3466,2805,3417,3417,3990,4048,3175,1589
Benešov,93156,3815,2764,7864,7635,5882,5915,6206,7216,7559,5529,4225
Beroun,75684,2850,1995,5903,6414,5124,5106,4828,5773,6167,5025,3674
Kladno,150198,5519,3728,11678,12826,10673,10303,9517,11768,12327,9843,7113
Kolín,95700,3628,2597,7863,8091,6109,6049,6195,7458,7759,6124,4592
Kutná Hora,73628,2899,2041,5781,5921,4865,4861,5083,5629,5644,4560,3398
Mělník,94677,3639,2475,7598,8294,6610,6238,5954,7244,7902,6133,4301
Mladá Boleslav,114325,4404,3166,9944,10144,7805,7245,7482,9312,9385,6862,4997
Nymburk,84132,3125,2203,7011,7315,5613,5238,5458,6434,6702,5260,3852
Praha-východ,96061,3520,2587,7709,7982,6382,6368,6207,7639,8148,6454,4358
Praha-západ,83089,3073,2073,6367,6921,5812,5414,5182,6630,7313,5503,3569
Příbram,107739,4451,2886,8962,9148,7043,7310,7239,8528,8608,6239,4840
Rakovník,54084,2075,1525,4409,4485,3503,3504,3648,4308,4423,3246,2554
České Budějovice,178201,7051,4707,14383,15033,12385,12411,12367,14086,13778,11235,7834
Český Krumlov,59569,2563,1800,5258,5187,4109,4180,4206,4728,4733,3294,2495
Jindřichův Hradec,92887,3717,2758,7926,7702,6178,5813,6359,7131,7511,5196,3993
Písek,70550,2635,1916,5780,5883,4515,4567,4649,5443,5480,4341,3344
Prachatice,51369,2186,1578,4412,4276,3492,3592,3619,4033,3913,2823,2257
Strakonice,69863,2773,1958,5825,5679,4549,4622,4786,5442,5254,4278,3398
Tábor,102828,4115,2822,8331,8556,6805,6812,6978,7933,7857,6063,4725
Domažlice,58844,2269,1596,4947,5123,4023,3858,3921,4614,4769,3502,2669
Klatovy,88043,3511,2439,7130,7284,5893,5851,5937,6718,6833,5407,4084
Plzeň-město,165259,5953,4320,13470,13775,10520,10669,10934,13444,13336,12005,8613
Plzeň-jih,68100,2481,1771,5291,5754,4355,4434,4379,5328,5527,4386,3311
Plzeň-sever,73215,2770,1919,5869,6272,4960,4904,4698,5714,5824,4481,3533
Rokycany,45788,1731,1244,3572,3794,3064,2913,3000,3480,3565,2897,2191
