Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód MOP;Název MOP;Kód části obce;Název části obce;Kód ulice;Název ulice;Typ SO;Číslo domovní;Číslo orientační;Znak čísla orientačního;PSČ;Souřadnice Y;Souřadnice X;Platí Od
17444373;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;1;;;50723;684386.77;1019544.23;2013-12-01T00:00:00
17444381;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;2;;;50723;684361.18;1019551.52;2013-12-01T00:00:00
17444390;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;3;;;50723;684337.58;1019554.31;2013-12-01T00:00:00
17444403;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;4;;;50723;684313.31;1019553.91;2013-12-01T00:00:00
17444411;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;5;;;50723;684304.98;1019560.71;2013-12-01T00:00:00
17444420;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;6;;;50723;684257.89;1019492.65;2013-12-01T00:00:00
17444438;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;7;;;50723;684261.67;1019582.20;2013-12-01T00:00:00
17444446;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;8;;;50723;684248.97;1019311.12;2013-12-01T00:00:00
17444454;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;9;;;50723;684279.06;1019272.76;2013-12-01T00:00:00
17444462;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;10;;;50723;684284.24;1019254.62;2013-12-01T00:00:00
17444471;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;11;;;50723;684284.72;1019236.70;2013-12-01T00:00:00
17444489;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;12;;;50723;684286.67;1019217.77;2013-12-01T00:00:00
17444497;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;13;;;50723;684312.79;1019200.89;2013-12-01T00:00:00
17444519;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;15;;;50723;684280.07;1019145.82;2013-12-01T00:00:00
17444527;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;16;;;50723;684272.84;1019101.79;2013-12-01T00:00:00
17444535;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;17;;;50723;684274.01;1019058.32;2013-12-01T00:00:00
17444543;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;18;;;50723;684267.67;1019028.26;2013-12-01T00:00:00
17444551;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;19;;;50723;684273.66;1018985.99;2013-12-01T00:00:00
17444560;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;20;;;50723;684281.27;1018918.39;2013-12-01T00:00:00
17444578;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;21;;;50723;684275.84;1018964.75;2013-12-01T00:00:00
17444586;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;22;;;50723;684256.29;1019629.66;2013-12-01T00:00:00
17444594;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;24;;;50723;684236.73;1019071.34;2013-12-01T00:00:00
17444608;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;25;;;50723;684294.54;1019627.29;2013-12-01T00:00:00
17444616;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;26;;;50723;684274.54;1019668.50;2013-12-01T00:00:00
17444624;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;27;;;50723;684271.66;1019644.71;2013-12-01T00:00:00
17444632;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;28;;;50723;684269.84;1019610.90;2013-12-01T00:00:00
17444641;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;29;;;50723;684298.19;1019661.21;2013-12-01T00:00:00
17444659;573108;Libáň;;;;;81663;Kozodírky;;;č.p.;30;;;50723;684263.16;1019014.32;2013-12-01T00:00:00
17444667;573108;Libáň;;;;;81671;Libáň;165964;T. G. Masaryka;č.p.;1;;;50723;682126.96;1018736.35;2013-12-01T00:00:00
